Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,U23 Men,HANRAHAN Jonah,-,30,-,,,
2025,World Championships,U23 Men,CANO MOLE Luca,-,31,51,,,
2025,World Championships,U23 Men,ZEITLHOFER Simon,-,32,33,,,
2025,World Championships,U23 Men,SOVKO Serhii,-,33,37,,,
2025,World Championships,U23 Men,STANKO Filip,-,35,40,,,
2025,World Championships,U23 Men,JEKLIN Rene,-,36,41,,,
2025,World Championships,U23 Men,ANDEREGG Noe,-,37,-,,,
2025,World Championships,U23 Men,COLLIER Nicholas,-,38,1,,,
2025,World Championships,U23 Men,CIAGLO Michal,-,39,68,,,
2025,World Championships,U23 Men,MAYER Thomas,-,39,10,,,
2025,World Championships,U23 Men,UKALOVIC Thomas,-,41,32,,,
2025,World Championships,U23 Men,WILHELMER Noah,-,42,77,,,
2025,World Championships,U23 Men,CHRISTIE-WILLIAMS John Coleman,-,43,-,,,
2025,World Championships,U23 Men,GALOVIC Maximilian,-,45,-,,,
2025,World Championships,U23 Men,MARTINEZ Jesus,-,45,35,,,
2025,World Championships,U23 Men,LIAO Li-Hong,-,47,-,,,
2025,World Championships,U23 Men,LONG Kyler James,-,48,18,,,
2025,World Championships,U23 Men,LONG Merle,-,49,17,,,
2025,World Championships,U23 Men,YILMAZ Serkan Ozcan,-,50,-,,,
2025,World Championships,U23 Men,ETTWILLER Gael,-,51,83,,,
2025,World Championships,U23 Men,SAVLI Jakob,-,52,65,,,
2025,World Championships,U23 Men,COWAN Padraig,-,54,50,,,
2025,World Championships,U23 Men,NESHIME Daisuke,-,55,57,,,
2025,World Championships,U23 Men,PILBROW Ben,-,56,-,,,
2025,World Championships,U23 Men,MAMBETOV Imangali,-,57,55,,,
2025,World Championships,U23 Men,KITAMURA Koki,-,58,12,,,
2025,World Championships,U23 Men,CARNEIRO Victor Eduardo,-,59,61,,,
2025,World Championships,U23 Men,TASKIRAN Hasan Mert,-,60,-,,,
2025,World Championships,U23 Men,FIANDER Ossian,-,62,56,,,
